State,Winner
Alabama,Reagan
Alaska,Reagan
Arizona,Reagan
Arkansas,Reagan
California ,Reagan
Colorado,Reagan
Connecticut ,Reagan
Delaware ,Reagan
District of Columbia ,Carter
Florida ,Reagan
Georgia,Carter
Hawaii,Carter
Idaho,Reagan
Illinois,Reagan
Indiana,Reagan
Iowa,Reagan
Kansas,Reagan
Kentucky,Reagan
Louisiana,Reagan
Maine,Reagan
Maryland,Carter
Massachusetts,Reagan
Michigan ,Reagan
Minnesota ,Carter
Mississippi,Reagan
Missouri,Reagan
Montana,Reagan
Nebraska ,Reagan
Nevada ,Reagan
New Hampshire ,Reagan
New Jersey ,Reagan
New Mexico ,Reagan
New York ,Reagan
North Carolina ,Reagan
North Dakota ,Reagan
Ohio,Reagan
Oklahoma,Reagan
Oregon,Reagan
Pennsylvania,Reagan
Rhode Island ,Carter
South Carolina ,Reagan
South Dakota ,Reagan
Tennessee,Reagan
Texas,Reagan
Utah ,Reagan
Vermont,Reagan
Virginia,Reagan
Washington ,Reagan
West Virginia,Carter
Wisconsin,Reagan
Wyoming,Reagan