state,year,educ_spending,
Alabama,1980,"73,762,875 ",
Alaska,1980,"7,189,289 ",
Arizona,1980,"33,066,590 ",
Arkansas,1980,"48,561,040 ",
California,1980,"321,928,260 ",
Colorado,1980,"31,792,273 ",
Connecticut,1980,"30,507,901 ",
Delaware,1980,"9,920,816 ",
District of Columbia,1980,"18,317,754 ",
Florida,1980,"108,348,080 ",
Georgia,1980,"82,845,811 ",
Hawaii,1980,"10,434,531 ",
Idaho,1980,"10,171,857 ",
Illinois,1980,"142,541,457 ",
Indiana,1980,"40,318,687 ",
Iowa,1980,"26,353,442 ",
Kansas,1980,"22,626,609 ",
Kentucky,1980,"61,777,854 ",
Louisiana,1980,"90,533,026 ",
Maine,1980,"14,080,980 ",
Maryland,1980,"52,273,824 ",
Massachusetts,1980,"68,262,364 ",
Michigan,1980,"132,044,580 ",
Minnesota,1980,"41,799,441 ",
Mississippi,1980,"73,432,608 ",
Missouri,1980,"54,212,388 ",
Montana,1980,"10,603,278 ",
Nebraska,1980,"16,208,707 ",
Nevada,1980,"4,882,694 ",
New Hampshire,1980,"6,425,642 ",
New Jersey,1980,"79,406,091 ",
New Mexico,1980,"26,196,096 ",
New York,1980,282341607,
North Carolina,1980,93794106,
North Dakota,1980,9190532,
Ohio,1980,"94,598,969 ",
Oklahoma,1980,"36,635,151 ",
Oregon,1980,"33,113,519 ",
Pennsylvania,1980,"137,130,071 ",
Rhode Island,1980,"10,321,952 ",
South Carolina,1980,"57,429,006 ",
South Dakota,1980,"9,586,812 ",
Tennessee,1980,"68,306,883 ",
Texas,1980,"256,993,668 ",
Utah,1980,"10,066,746 ",
Vermont,1980,"6,519,678 ",
Virginia,1980,"62,196,550 ",
Washington,1980,"45,188,857 ",
West Virginia,1980,"30,038,237 ",
Wisconsin,1980,"49,809,107 ",
Wyoming,1980,"5,132,103 ",
American Samoa,1980,"1,547,872 ",
Guam,1980,"1,835,442 ",
Northern Mariana Islands,1980,"683,042 ",
Puerto Rico,1980,"114,802,814 ",
Virgin Islands,1980,"3,385,610 ",
Palau,1980,0 ,
Marshall Islands,1980,0 ,
Micronesia,1980,0 ,
Indian Tribe Set Aside,1980,"20,194,258 ",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
region,number,number,share of metro pop
Midwest,1238000,,
Northeast,3024000,,
South,1210000,,
West,2340000,,